date,conso,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16 17:00:00,,,,,,,
2006-12-16 18:00:00,2.790,0.180,237.520,11.800,0.000,0.000,18.0
2006-12-16 19:00:00,4.070,0.088,231.990,17.400,0.000,1.000,17.0
2006-12-16 20:00:00,3.206,0.078,232.430,13.800,0.000,0.000,16.0
2006-12-16 21:00:00,3.314,0.072,236.760,14.000,0.000,0.000,17.0
2006-12-16 22:00:00,3.464,0.170,236.030,14.600,0.000,1.000,17.0
2006-12-16 23:00:00,2.410,0.068,238.900,10.000,0.000,0.000,0.0
2006-12-17 00:00:00,1.044,0.152,242.730,4.400,0.000,2.000,0.0
2006-12-17 01:00:00,1.008,0.000,242.350,5.400,0.000,0.000,0.0
2006-12-17 02:00:00,1.334,0.148,242.140,7.000,0.000,5.000,0.0
2006-12-17 03:00:00,2.542,0.214,244.060,10.400,0.000,0.000,0.0
2006-12-17 04:00:00,2.402,0.076,243.180,9.800,0.000,1.000,0.0
2006-12-17 05:00:00,2.294,0.000,243.140,10.400,0.000,0.000,19.0
2006-12-17 06:00:00,2.076,0.206,244.360,9.200,0.000,0.000,0.0
2006-12-17 07:00:00,0.222,0.000,244.670,1.000,0.000,0.000,0.0
2006-12-17 08:00:00,2.280,0.056,240.900,9.400,0.000,0.000,0.0
2006-12-17 09:00:00,2.940,0.310,239.090,12.200,0.000,1.000,0.0
2006-12-17 10:00:00,2.292,0.054,238.030,9.600,0.000,0.000,0.0
2006-12-17 11:00:00,3.650,0.220,234.550,15.600,1.000,40.000,17.0
2006-12-17 12:00:00,1.962,0.252,239.730,8.200,0.000,0.000,18.0
2006-12-17 13:00:00,1.754,0.392,237.650,7.600,0.000,1.000,18.0
2006-12-17 14:00:00,1.744,0.104,240.380,7.200,0.000,0.000,18.0
2006-12-17 15:00:00,2.110,0.202,243.110,8.600,0.000,1.000,18.0
2006-12-17 16:00:00,2.818,0.114,239.010,11.800,2.000,0.000,17.0
2006-12-17 17:00:00,3.388,0.244,233.820,14.400,0.000,1.000,17.0
2006-12-17 18:00:00,3.328,0.168,235.860,14.000,0.000,0.000,17.0
2006-12-17 19:00:00,4.078,0.300,230.780,17.600,0.000,0.000,17.0
2006-12-17 20:00:00,2.388,0.166,232.780,10.200,0.000,0.000,16.0
2006-12-17 21:00:00,3.576,0.252,237.800,15.200,0.000,2.000,18.0
2006-12-17 22:00:00,2.690,0.310,239.170,11.200,0.000,1.000,18.0
2006-12-17 23:00:00,1.116,0.344,245.220,4.800,0.000,0.000,0.0
2006-12-18 00:00:00,0.278,0.126,246.170,1.200,0.000,2.000,0.0
2006-12-18 01:00:00,0.296,0.130,244.050,1.200,0.000,0.000,0.0
2006-12-18 02:00:00,0.210,0.000,244.200,0.800,0.000,0.000,0.0
2006-12-18 03:00:00,0.210,0.000,247.420,0.800,0.000,0.000,0.0
2006-12-18 04:00:00,0.378,0.248,246.080,1.800,0.000,0.000,0.0
2006-12-18 05:00:00,0.396,0.266,245.820,1.800,0.000,1.000,0.0
2006-12-18 06:00:00,0.214,0.000,246.560,0.800,0.000,0.000,0.0
2006-12-18 07:00:00,0.684,0.156,245.950,2.800,0.000,1.000,0.0
2006-12-18 08:00:00,2.128,0.152,238.590,8.800,1.000,0.000,18.0
2006-12-18 09:00:00,3.678,0.288,234.990,15.600,37.000,2.000,17.0
2006-12-18 10:00:00,1.352,0.090,238.660,5.600,0.000,0.000,17.0
2006-12-18 11:00:00,1.254,0.000,239.200,5.200,0.000,0.000,18.0
2006-12-18 12:00:00,1.734,0.084,242.960,7.000,0.000,0.000,19.0
2006-12-18 13:00:00,1.480,0.058,244.030,6.000,0.000,0.000,18.0
2006-12-18 14:00:00,0.408,0.082,243.350,1.600,0.000,0.000,0.0
2006-12-18 15:00:00,1.888,0.092,241.390,7.800,0.000,0.000,18.0
2006-12-18 16:00:00,1.680,0.074,241.860,6.800,0.000,0.000,18.0
2006-12-18 17:00:00,1.946,0.088,239.070,8.000,0.000,0.000,17.0
2006-12-18 18:00:00,2.786,0.178,237.250,11.800,0.000,2.000,17.0
2006-12-18 19:00:00,1.456,0.000,237.090,6.000,0.000,0.000,0.0
2006-12-18 20:00:00,1.616,0.234,236.170,6.800,0.000,1.000,0.0
2006-12-18 21:00:00,3.274,0.076,233.670,14.000,0.000,0.000,17.0
2006-12-18 22:00:00,1.556,0.160,237.720,6.600,0.000,0.000,0.0
2006-12-18 23:00:00,2.502,0.000,239.200,10.400,0.000,36.000,0.0
2006-12-19 00:00:00,0.414,0.242,241.190,2.000,0.000,1.000,0.0
2006-12-19 01:00:00,1.292,0.000,239.710,5.400,0.000,0.000,18.0
2006-12-19 02:00:00,0.326,0.114,242.530,1.400,0.000,2.000,0.0
2006-12-19 03:00:00,0.328,0.086,245.680,1.600,0.000,0.000,0.0
2006-12-19 04:00:00,0.244,0.000,244.010,1.000,0.000,0.000,0.0
2006-12-19 05:00:00,0.420,0.230,242.890,2.000,0.000,0.000,0.0
2006-12-19 06:00:00,0.244,0.000,243.340,1.000,0.000,0.000,0.0
2006-12-19 07:00:00,1.370,0.148,243.200,5.600,0.000,0.000,0.0
2006-12-19 08:00:00,2.914,0.000,235.470,12.400,0.000,0.000,17.0
2006-12-19 09:00:00,5.994,0.208,235.950,25.800,38.000,38.000,17.0
2006-12-19 10:00:00,0.222,0.000,241.500,1.000,0.000,0.000,0.0
2006-12-19 11:00:00,2.410,0.000,239.700,10.000,0.000,37.000,0.0
2006-12-19 12:00:00,2.488,0.162,239.810,10.400,0.000,36.000,0.0
2006-12-19 13:00:00,0.206,0.000,244.160,0.800,0.000,0.000,0.0
2006-12-19 14:00:00,0.314,0.136,245.700,1.400,0.000,0.000,0.0
2006-12-19 15:00:00,0.216,0.000,246.960,0.800,0.000,0.000,0.0
2006-12-19 16:00:00,1.404,0.120,244.180,5.600,0.000,0.000,18.0
2006-12-19 17:00:00,1.268,0.000,240.440,5.200,0.000,0.000,18.0
2006-12-19 18:00:00,2.360,0.000,238.050,9.800,0.000,0.000,17.0
2006-12-19 19:00:00,1.970,0.092,238.950,8.200,0.000,0.000,17.0
2006-12-19 20:00:00,1.904,0.120,240.820,8.000,0.000,0.000,0.0
2006-12-19 21:00:00,2.844,0.202,241.030,11.800,0.000,36.000,0.0
2006-12-19 22:00:00,1.346,0.088,238.520,5.800,0.000,1.000,0.0
2006-12-19 23:00:00,0.468,0.138,245.530,2.000,0.000,1.000,0.0
2006-12-20 00:00:00,0.824,0.058,245.570,3.400,0.000,0.000,0.0
2006-12-20 01:00:00,0.224,0.000,244.630,1.000,0.000,0.000,0.0
2006-12-20 02:00:00,0.286,0.054,241.640,1.400,0.000,0.000,0.0
2006-12-20 03:00:00,1.326,0.000,244.550,5.400,0.000,0.000,18.0
2006-12-20 04:00:00,0.332,0.146,246.110,1.400,0.000,0.000,0.0
