date,conso,Global_reactive_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16 18:00:00,2.790,0.180,11.800,0.000,0.000,18.0
2006-12-16 19:00:00,4.070,0.088,17.400,0.000,1.000,17.0
2006-12-16 20:00:00,3.206,0.078,13.800,0.000,0.000,16.0
2006-12-16 21:00:00,3.314,0.072,14.000,0.000,0.000,17.0
2006-12-16 22:00:00,3.464,0.170,14.600,0.000,1.000,17.0
2006-12-16 23:00:00,2.410,0.068,10.000,0.000,0.000,0.0
2006-12-17 00:00:00,1.044,0.152,4.400,0.000,2.000,0.0
2006-12-17 01:00:00,1.008,0.000,5.400,0.000,0.000,0.0
2006-12-17 02:00:00,1.334,0.148,7.000,0.000,5.000,0.0
2006-12-17 03:00:00,2.542,0.214,10.400,0.000,0.000,0.0
2006-12-17 04:00:00,2.402,0.076,9.800,0.000,1.000,0.0
2006-12-17 05:00:00,2.294,0.000,10.400,0.000,0.000,19.0
2006-12-17 06:00:00,2.076,0.206,9.200,0.000,0.000,0.0
2006-12-17 07:00:00,0.222,0.000,1.000,0.000,0.000,0.0
2006-12-17 08:00:00,2.280,0.056,9.400,0.000,0.000,0.0
2006-12-17 09:00:00,2.940,0.310,12.200,0.000,1.000,0.0
2006-12-17 10:00:00,2.292,0.054,9.600,0.000,0.000,0.0
2006-12-17 11:00:00,3.650,0.220,15.600,1.000,40.000,17.0
2006-12-17 12:00:00,1.962,0.252,8.200,0.000,0.000,18.0
2006-12-17 13:00:00,1.754,0.392,7.600,0.000,1.000,18.0
2006-12-17 14:00:00,1.744,0.104,7.200,0.000,0.000,18.0
2006-12-17 15:00:00,2.110,0.202,8.600,0.000,1.000,18.0
2006-12-17 16:00:00,2.818,0.114,11.800,2.000,0.000,17.0
2006-12-17 17:00:00,3.388,0.244,14.400,0.000,1.000,17.0
2006-12-17 18:00:00,3.328,0.168,14.000,0.000,0.000,17.0
2006-12-17 19:00:00,4.078,0.300,17.600,0.000,0.000,17.0
2006-12-17 20:00:00,2.388,0.166,10.200,0.000,0.000,16.0
2006-12-17 21:00:00,3.576,0.252,15.200,0.000,2.000,18.0
2006-12-17 22:00:00,2.690,0.310,11.200,0.000,1.000,18.0
2006-12-17 23:00:00,1.116,0.344,4.800,0.000,0.000,0.0
2006-12-18 00:00:00,0.278,0.126,1.200,0.000,2.000,0.0
2006-12-18 01:00:00,0.296,0.130,1.200,0.000,0.000,0.0
2006-12-18 02:00:00,0.210,0.000,0.800,0.000,0.000,0.0
2006-12-18 03:00:00,0.210,0.000,0.800,0.000,0.000,0.0
2006-12-18 04:00:00,0.378,0.248,1.800,0.000,0.000,0.0
2006-12-18 05:00:00,0.396,0.266,1.800,0.000,1.000,0.0
2006-12-18 06:00:00,0.214,0.000,0.800,0.000,0.000,0.0
2006-12-18 07:00:00,0.684,0.156,2.800,0.000,1.000,0.0
2006-12-18 08:00:00,2.128,0.152,8.800,1.000,0.000,18.0
2006-12-18 09:00:00,3.678,0.288,15.600,37.000,2.000,17.0
2006-12-18 10:00:00,1.352,0.090,5.600,0.000,0.000,17.0
2006-12-18 11:00:00,1.254,0.000,5.200,0.000,0.000,18.0
