date,Temperature,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption,conso
2017-01-01 00:00:00,6.559,0.083,0.051,0.119,34055.6962,16128.87538,20240.96386,70425.53544
2017-01-01 01:00:00,5.641,0.08,0.048,0.096,25998.98734,16993.31307,17945.06024,60937.36065
2017-01-01 02:00:00,5.059,0.081,0.07,0.096,23003.5443,15169.60486,16117.59036,54290.73952
2017-01-01 03:00:00,5.169,0.083,0.066,0.108,21107.8481,13535.56231,15140.24096,49783.65137
2017-01-01 04:00:00,4.753,0.083,0.044,0.134,20524.55696,12820.66869,14585.06024,47930.28589
2017-01-01 05:00:00,4.934,0.082,0.055,0.134,20542.78481,12806.07903,14243.85542,47592.71926
2017-01-01 06:00:00,4.308,0.081,0.062,0.126,22219.74684,14068.08511,14908.91566,51196.74761
2017-01-01 07:00:00,4.304,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819,45818.7028
2017-01-01 08:00:00,4.794,0.084,0.187,0.145,18385.82278,10949.54407,10710.36145,40045.7283
2017-01-01 09:00:00,4.704,0.083,82.5,20.15,21296.20253,12871.73252,12283.37349,46451.30854
2017-01-01 10:00:00,5.124,0.076,234.8,29.23,25275.94937,15238.90578,14162.89157,54677.74672
2017-01-01 11:00:00,7.54,4.916,371.1,33.43,28714.93671,17507.59878,15591.3253,61813.86079
2017-01-01 12:00:00,13.08,0.077,450.4,43.2,29644.55696,18131.30699,16562.89157,64338.75552
2017-01-01 13:00:00,15.57,0.077,498.1,40.94,30258.22785,18466.8693,17413.01205,66138.1092
2017-01-01 14:00:00,15.83,0.079,476.1,39.49,29984.81013,18353.79939,17054.45783,65393.06735
2017-01-01 15:00:00,15.64,0.077,409.0,44.9,29571.64557,17894.22492,16753.73494,64219.60543
2017-01-01 16:00:00,15.33,0.077,209.1,128.9,28836.4557,17646.20061,16256.38554,62739.04185
2017-01-01 17:00:00,15.44,0.076,165.8,201.7,29723.5443,17708.20669,17719.51807,65151.26906
2017-01-01 18:00:00,14.48,0.08,18.0,18.29,39560.50633,24455.92705,25544.09639,89560.52977
2017-01-01 19:00:00,12.51,0.077,0.055,0.085,39991.89873,24477.81155,25989.39759,90459.10787
2017-01-01 20:00:00,11.42,0.076,0.073,0.085,40283.5443,24919.14894,26469.39759,91672.09083
2017-01-01 21:00:00,11.43,0.075,0.051,0.07,39584.81013,25396.96049,25966.26506,90948.03568
2017-01-01 22:00:00,13.1,0.074,0.04,0.141,36953.92405,24000.0,23976.86747,84930.79152
2017-01-01 23:00:00,12.11,0.074,0.088,0.082,32117.46835,21253.49544,20686.26506,74057.22885
2017-01-02 00:00:00,11.01,0.076,0.033,0.163,26703.79747,18047.41641,17916.14458,62667.35846
2017-01-02 01:00:00,10.94,0.074,0.084,0.108,23629.36709,15720.36474,15643.37349,54993.10532
2017-01-02 02:00:00,10.86,0.076,0.066,0.159,21533.16456,14294.22492,14405.78313,50233.17261
2017-01-02 03:00:00,10.7,0.079,0.062,0.159,20372.65823,13524.62006,13948.91566,47846.19395
2017-01-02 04:00:00,10.18,0.079,0.059,0.159,19831.89873,13090.57751,13549.87952,46472.35576
2017-01-02 05:00:00,10.03,0.08,0.029,0.163,20257.21519,13517.32523,13642.40964,47416.95006
2017-01-02 06:00:00,9.58,0.075,0.048,0.134,22742.27848,15089.3617,14868.43373,52700.07391
2017-01-02 07:00:00,9.17,0.078,0.073,0.163,23380.25316,15607.29483,14400.0,53387.54799
2017-01-02 08:00:00,9.44,0.084,0.124,0.223,22742.27848,15537.99392,11398.55422,49678.82662
2017-01-02 09:00:00,8.44,0.08,64.11,24.49,25980.75949,17248.63222,12636.14458,55865.53629
2017-01-02 10:00:00,11.68,0.08,218.3,39.07,25518.98734,19393.31307,14619.75904,59532.05945
2017-01-02 11:00:00,14.55,0.077,360.7,41.43,27645.56962,20618.84498,16325.78313,64590.19773
2017-01-02 12:00:00,15.21,0.077,452.5,41.73,28939.74684,20757.44681,16742.16867,66439.36232
2017-01-02 13:00:00,15.23,0.076,487.1,44.09,29966.58228,19593.92097,18997.59036,68558.09361
2017-01-02 14:00:00,15.56,0.075,470.9,42.8,28672.40506,19517.32523,18714.21687,66903.94716
2017-01-02 15:00:00,15.59,0.077,399.4,40.61,28721.01266,21559.87842,16643.85542,66924.7465
2017-01-02 16:00:00,15.37,0.077,280.3,184.0,29030.88608,20728.26748,16111.80723,65870.96079
2017-01-02 17:00:00,15.22,0.076,142.6,175.0,32390.88608,21198.78419,18026.0241,71615.69437
2017-01-02 18:00:00,14.54,0.074,11.04,11.2,41644.55696,27206.07903,25497.83133,94348.46732
2017-01-02 19:00:00,13.87,0.075,0.066,0.1,41280.0,26731.91489,25659.75904,93671.67393
2017-01-02 20:00:00,13.42,0.073,0.055,0.096,40939.74684,26531.30699,25353.25301,92824.30684
2017-01-02 21:00:00,13.47,0.074,0.048,0.078,40830.37975,26564.13374,25619.27711,93013.7906
2017-01-02 22:00:00,12.86,0.074,0.084,0.093,37792.40506,24755.0152,23791.80723,86339.22749
2017-01-02 23:00:00,12.82,0.075,0.077,0.1,32785.82278,21753.19149,21166.26506,75705.27933
2017-01-03 00:00:00,12.08,0.076,0.117,0.093,26661.26582,18579.93921,18072.28916,63313.49419
2017-01-03 01:00:00,12.23,0.074,0.062,0.145,23422.78481,15749.54407,15718.55422,54890.8831
2017-01-03 02:00:00,11.35,0.081,0.095,0.134,21691.13924,14538.60182,14475.18072,50704.92178
2017-01-03 03:00:00,12.78,0.078,0.055,0.156,20980.25316,13944.07295,13769.63855,48693.96466
2017-01-03 04:00:00,11.85,0.083,0.077,0.156,20202.53165,13586.62614,13468.91566,47258.07345
2017-01-03 05:00:00,10.74,0.077,0.048,0.189,20390.88608,13739.81763,13688.6747,47819.37841
2017-01-03 06:00:00,11.44,0.079,0.102,0.122,22954.93671,15403.03951,14874.21687,53232.19309
2017-01-03 07:00:00,10.15,0.08,0.055,0.193,24534.68354,16034.04255,14342.16867,54910.89476
2017-01-03 08:00:00,8.85,0.082,0.146,0.223,23884.55696,15957.44681,11780.24096,51622.24473
2017-01-03 09:00:00,8.4,0.082,64.8,27.42,27135.18987,18032.82675,13110.36145,58278.37807
2017-01-03 10:00:00,12.43,0.079,220.3,41.27,30057.72152,19473.55623,14139.75904,63671.03679
2017-01-03 11:00:00,14.54,0.084,361.2,43.97,32749.36709,21155.0152,15388.91566,69293.29795
2017-01-03 12:00:00,15.28,0.074,452.5,44.71,33168.60759,21508.81459,16285.3012,70962.72338
2017-01-03 13:00:00,15.43,0.073,492.7,44.55,34341.26582,21672.94833,16632.28916,72646.50331
2017-01-03 14:00:00,15.57,0.073,472.9,45.01,32627.8481,21541.64134,16771.08434,70940.57378
2017-01-03 15:00:00,15.44,0.075,401.3,43.02,32251.13924,21424.92401,16366.26506,70042.32831
2017-01-03 16:00:00,15.34,0.075,283.3,215.7,31777.21519,21012.76596,16429.87952,69219.86067
2017-01-03 17:00:00,14.94,0.075,131.7,166.5,33241.51899,21924.62006,17852.53012,73018.66917
2017-01-03 18:00:00,14.32,0.075,11.76,11.93,42495.18987,27209.72644,25347.46988,95052.38619
2017-01-03 19:00:00,11.85,0.074,0.066,0.111,42434.43038,27217.02128,25740.72289,95392.17455
2017-01-03 20:00:00,10.69,0.077,0.055,0.093,41960.50633,26819.45289,25891.08434,94671.04356
2017-01-03 21:00:00,9.62,0.074,0.055,0.082,41571.64557,26939.81763,25729.15663,94240.61983
2017-01-03 22:00:00,9.07,0.073,0.073,0.089,37962.53165,24962.91793,24190.84337,87116.29295
2017-01-03 23:00:00,8.51,0.075,0.062,0.104,32457.72152,21610.94225,21443.85542,75512.51919
2017-01-04 00:00:00,8.52,0.077,0.062,0.104,27657.72152,18612.76596,18176.38554,64446.87302
2017-01-04 01:00:00,8.13,0.074,0.037,0.1,23975.6962,15833.43465,15892.04819,55701.17904
2017-01-04 02:00:00,8.13,0.075,0.059,0.119,22450.63291,14144.68085,14775.90361,51371.21737
2017-01-04 03:00:00,7.89,0.074,0.066,0.07,21569.62025,13542.85714,14081.92771,49194.4051
2017-01-04 04:00:00,7.46,0.091,0.084,0.122,21120.0,13294.83283,13839.03614,48253.86897
2017-01-04 05:00:00,6.003,0.085,0.062,0.1,19746.83544,13524.62006,13827.46988,47098.92538
2017-01-04 06:00:00,5.946,0.084,0.07,0.122,23696.20253,15359.27052,15163.37349,54218.84654
2017-01-04 07:00:00,5.364,0.087,0.051,0.122,24972.1519,15826.13982,14839.51807,55637.80979
2017-01-04 08:00:00,5.139,0.085,0.146,0.226,24066.83544,15734.95441,11392.77108,51194.56093
2017-01-04 09:00:00,4.872,0.088,70.5,26.46,26849.62025,18040.12158,13416.86747,58306.6093
2017-01-04 10:00:00,6.0,0.091,220.3,39.42,29122.02532,20549.54407,14718.07229,64389.64168
2017-01-04 11:00:00,8.01,0.088,354.4,40.51,31485.56962,21734.95441,15892.04819,69112.57222
2017-01-04 12:00:00,11.47,0.085,466.4,37.49,33873.41772,21942.85714,16267.95181,72084.22667
2017-01-04 13:00:00,14.41,0.084,505.9,36.35,33855.18987,22256.53495,16817.3494,72929.07422
2017-01-04 14:00:00,17.65,0.084,485.9,38.87,32676.4557,21603.64742,16649.63855,70929.74167
2017-01-04 15:00:00,17.33,0.075,409.7,44.91,32475.94937,21527.05167,16383.61446,70386.6155
2017-01-04 16:00:00,17.09,0.074,291.0,254.4,31552.40506,20994.52888,15892.04819,68438.98213
2017-01-04 17:00:00,17.57,0.076,134.8,165.7,32166.07595,21432.21884,17395.66265,70993.95744
2017-01-04 18:00:00,14.98,0.077,11.43,11.56,42938.73418,27665.6535,25445.78313,96050.17081
2017-01-04 19:00:00,12.21,0.069,0.051,0.104,43163.5443,27443.16109,25659.75904,96266.46443
