Actual,Predicted
4062.6667,4016.2373
4006.9167,3961.9072
3951.3333,3912.0933
3868.625,3836.4004
3476.9585,3487.3708
3211.625,3215.1768
3821.875,3797.1125
3980.375,3942.6448
3663.6667,3659.578
3725.9167,3713.2144
3879.9167,3849.3318
3437.5835,3449.859
3006.5417,3030.9158
3482.7085,3494.2139
3665.75,3661.3633
3476.9585,3486.7432
3676.875,3666.4084
3795.375,3770.1917
3346.5835,3358.799
3005.2085,3024.164
3435.4167,3447.1233
3529.5417,3533.412
3470.1667,3477.2505
3473.625,3476.835
3584.5,3583.922
3185.4585,3192.0203
2916.2917,2941.0374
3218.7917,3224.3745
3487.0417,3490.7004
3434.875,3440.6008
3521.9585,3521.5977
3565.1667,3560.2178
3185.7085,3189.2188
2934.125,2949.062
3328.5,3335.5125
3503.8335,3505.0813
3670.0417,3649.0767
3977.9585,3906.7207
3883.8335,3826.9119
3272.25,3271.5623
2810.2917,2826.824
3299.6667,3301.0266
3530.5417,3527.225
3431.125,3432.0063
3424.125,3420.1104
3405.25,3408.4224
2985.5,2995.4763
2686.75,2722.4563
3029.6667,3039.5225
3265.625,3262.0764
3476.375,3470.4243
3528.1667,3516.509
3485.2085,3479.94
3244.2917,3241.668
3022.25,3020.9688
3576.5,3561.3164
3765.5,3717.242
3695.4585,3663.0288
3630.5417,3610.5835
3782.7083,3742.5293
3330.9585,3334.9973
3070.5417,3068.54
3212.125,3208.2944
3373.4167,3371.792
3462.5835,3454.0981
3517.25,3500.8254
3344.2085,3341.722
3082.125,3077.3286
2754.0835,2779.6382
3076.6667,3079.793
3064.7085,3065.2903
3004.4167,3004.7659
3078.7917,3072.7134
3226.8335,3221.4346
2917.8335,2929.5784
2670.5835,2703.8188
3043.4167,3045.1519
3276.25,3270.7356
3187.7085,3181.0713
3357.75,3355.0376
3169.375,3162.4014
2863.625,2883.8386
2633.5,2681.0474
3007.2085,3017.0786
3173.875,3166.6497
3221.3335,3214.384
3224.375,3219.2048
3237.625,3232.5388
3013.5417,3023.7659
2787.375,2809.293
3195.0417,3190.8086
3161.0417,3155.1392
3050.125,3050.2178
3113.5,3107.248
3088.7085,3084.226
2856.3335,2871.0366
2713.0835,2738.2427
3049.5417,3050.8237
3132.4167,3126.8184
3079.9585,3076.7231
3118.5,3112.6936
3132.125,3125.3
2800.9585,2818.7456
2674.25,2701.5674
2967.4167,2977.7468
3173.0835,3164.7988
3082.75,3078.483
3140.9167,3132.7117
3125.2085,3117.6353
2938.7085,2951.6694
2730.2085,2750.6833
3053.1667,3052.7163
3227.875,3218.9143
3170.9167,3161.557
3190.3335,3181.025
3204.9167,3195.6091
2918.2917,2933.2146
2670.25,2704.972
3109.25,3104.6194
3301.2917,3294.1252
3144.1667,3134.7495
2823.25,2842.8967
3179.5835,3169.357
2965.375,2976.546
2778.7085,2799.1025
3066.5,3064.2458
3080.8335,3077.98
2953.0835,2963.232
2679.5,2709.7656
