Actual,Predicted
1.00325,1.0035188
1.06925,1.0690575
1.1965834,1.1967213
1.3039167,1.3035098
1.22225,1.2245578
1.0975,1.1009732
0.77225006,0.7809068
0.8128333,0.82005084
0.644,0.65313333
0.7571667,0.7629424
0.98808336,0.98685753
1.0533334,1.0527918
0.8876667,0.8901878
1.0323334,1.0326937
0.7425,0.7500396
0.74950004,0.755633
0.98541665,0.9840639
0.7131667,0.72034967
0.80025005,0.80220896
0.45400006,0.4516855
0.80708337,0.8060211
0.8196667,0.8184519
0.62450004,0.6263382
0.8478334,0.8467486
0.82633334,0.82756674
1.0401666,1.0362431
0.8785834,0.87858766
1.2508333,1.2484325
0.49608332,0.49397564
0.53725004,0.5361583
0.53175,0.5291742
0.56325,0.563934
0.5223333,0.5187802
0.71541667,0.7179067
0.79200006,0.7917553
0.78400004,0.7848557
0.66791666,0.6743366
0.646,0.65138626
0.5531667,0.55536485
0.6309167,0.6361334
0.5465,0.5477598
0.34308338,0.34808296
0.3334167,0.33758187
0.41583335,0.4087655
0.3703333,0.36713928
0.41700006,0.41163468
0.41708338,0.4122309
0.44833332,0.44233853
0.37816668,0.37226313
0.3895834,0.3801664
0.38633335,0.3750831
0.3441667,0.3377176
0.36666667,0.356044
0.38525003,0.37330055
0.33858335,0.33059603
0.3900833,0.3773294
0.38700002,0.3741389
0.34483337,0.3376643
0.74308336,0.74487454
0.83916664,0.8398389
0.915,0.91361934
0.47100002,0.45902306
0.5125834,0.50430423
0.5323334,0.52661306
0.64758337,0.6494894
0.43708336,0.42239064
1.4139167,1.4131229
1.0015833,0.9977368
1.0816667,1.0771928
0.97566664,0.97480774
0.8814167,0.88349295
1.041,1.0401623
0.93850005,0.940616
0.9943333,0.99600565
1.1991667,1.1989242
1.0113333,1.0120552
0.8991667,0.900915
0.9364167,0.9378305
1.05625,1.0576086
0.85258335,0.85849947
0.9475833,0.95141405
0.95458335,0.95774883
1.16775,1.1687863
0.72533333,0.7342018
1.0084167,1.0109662
0.65575004,0.662959
1.05875,1.0608225
1.1903334,1.1909561
0.87666667,0.8798806
0.62808335,0.6341578
1.2488333,1.2493638
0.772,0.7801013
1.1358334,1.1391869
1.0178334,1.021037
1.0074167,1.0103028
0.6915,0.69956577
1.588,1.592015
1.2734166,1.2749296
0.8864167,0.89093304
1.001,1.0034903
1.29275,1.2935786
1.1486666,1.1525322
1.2436666,1.245862
1.2234167,1.2266948
0.9971667,1.0021385
1.1998334,1.2041051
0.9269167,0.93367904
1.1090833,1.1135823
1.6229167,1.6288834
1.2081667,1.2123902
1.1768334,1.1826042
1.57475,1.5773859
1.59025,1.5931121
1.18325,1.1901094
0.7388333,0.75483227
0.689,0.7034408
1.9574167,1.9802952
1.5809166,1.5845339
1.1800001,1.1872363
0.7570833,0.770594
1.1463333,1.1542525
1.5634167,1.5682573
1.58725,1.5937471
0.8415834,0.84932685
0.50208336,0.5028854
0.9113333,0.91778564
1.04375,1.0500863
0.8616667,0.8708745
1.4553334,1.4588788
0.9400833,0.94917405
0.96741664,0.9762819
0.7033334,0.72031033
0.8570833,0.86781275
1.8369167,1.8492981
1.2559167,1.2597884
1.1290834,1.1363424
1.0409167,1.0485028
1.4216666,1.4222523
1.30775,1.3099566
1.4865834,1.4856603
1.1894166,1.1958512
1.2404166,1.2441798
1.3754166,1.373131
1.3756666,1.3737051
1.2505833,1.2542243
1.0003333,1.0114356
1.1490834,1.158896
1.3408333,1.3416066
1.0931667,1.1032305
1.4459167,1.4426332
0.62241673,0.6471565
1.4705,1.4698436
1.1305833,1.140257
1.3145,1.3177301
0.90008336,0.9153216
1.1039091,1.1132654
